origem_id,destino_id,tempo_seg,distancia_km,nome_origem,nome_destino,linha_origem
3.174,3.181,239,2.421,Строгино,Мякинино,1
2.153,2.42,193,1.88,Царицыно,Кантемировская,1
95.531,95.532,209,2.065,ЗИЛ,Верхние Котлы,1
10.109,10.32,173,1.651,Печатники,Волжская,1
131.703,131.801,306,3.192,Фили,Славянский бульвар,1
132.716,132.717,198,1.938,Пенягино,Волоколамская,1
135.875,135.876,94024,1086.672,Раменское,Ипподром,1
4.14,4.151,127,1.122,Багратионовская,Фили,1
6.137,6.144,100,0.809,Сухаревская,Тургеневская,1
7.51,7.67,116,0.99,Китай-город,Кузнецкий мост,1
133.556,133.557,161,1.515,Ломоносовский проспект,Раменки,1
8.112,8.78,177,1.7,Площадь Ильича,Марксистская,1
7.124,7.67,146,1.336,Пушкинская,Кузнецкий мост,1
10.548,10.596,150,1.387,Петровско-Разумовская,Окружная,1
97.830,97.831,187,1.81,Нагатинский Затон,Кленовый бульвар,1
98.763,98.764,140,1.276,Окская,Стахановская,1
136.887,136.888,324,3.394,Нижегородская,Серп и Молот,1
9.86,9.87,136,1.22,Нагорная,Нахимовский проспект,1
137.962,137.963,197,1.93,Академическая,Крымская,1
137.961,137.962,200,1.968,Вавиловская,Академическая,1
132.712,132.713,199,1.949,Аникеевка,Опалиха,1
136.909,136.910,358,3.788,Внуково,Лесной Городок,1
132.727,132.728,161,1.517,Москва Товарная,Калитники,1
136.882,136.883,244,2.471,Реутов,Новогиреево,1
137.920,137.922,272,2.794,Университет дружбы народов,Генерала Тюленева,1
137.920,137.921,258,2.631,Университет дружбы народов,Новаторская,1
132.731,132.732,211,2.097,Люблино,Депо,1
97.814,97.815,135,1.217,Проспект Вернадского,Новаторская,1
132.736,132.737,2318,26.455,Покровское,Красный строитель,1
132.722,132.723,186,1.808,Гражданская,Дмитровская,1
135.865,135.866,189,1.839,Томилино,Красково,1
7.111,7.138,132,1.184,Планерная,Сходненская,1
136.886,136.887,97256,1124.036,Чухлинка,Нижегородская,1
3.100,3.70,229,2.304,Площадь Революции,Курская,1
136.901,136.902,122,1.064,Матвеевское,Аминьевская,1
2.38,2.96,151,1.404,Домодедовская,Орехово,1
6.121,6.92,115,0.985,Профсоюзная,Новые Черемушки,1
133.607,133.608,295,3.069,Мичуринский проспект,Озёрная,1
136.910,136.911,310,3.24,Лесной Городок,Толстопальцево,1
136.905,136.906,202,1.983,Солнечная,Новопеределкино,1
7.31,7.62,145,1.325,Волгоградский проспект,Пролетарская,1
131.695,131.696,195,1.905,Бескудниково,Дегунино,1
3.173,3.47,296,3.072,Парк Победы,Киевская,1
3.183,3.463,115,0.979,Митино,Пятницкое шоссе,1
136.888,136.889,165,1.561,Серп и Молот,Курская,1
5.104,5.49,191,1.862,Парк культуры,Киевская,1
132.719,132.720,85,0.639,Покровское-Стрешнево,Стрешнево,1
131.709,131.710,238,2.41,Баковка,Одинцово,1
9.116,9.163,146,1.343,Пражская,Южная,1
6.41,6.92,181,1.742,Калужская,Новые Черемушки,1
9.156,9.163,205,2.022,Чертановская,Южная,1
2.101,2.2,273,2.814,Павелецкая,Автозаводская,1
95.533,95.534,223,2.231,Крымская,Площадь Гагарина,1
1.148,1.155,165,1.563,Бульвар Рокоссовского,Черкизовская,1
1.513,1.514,169,1.605,Румянцево,Саларьево,1
135.854,135.855,158,1.484,Сортировочная,Авиамоторная,1
136.880,136.881,168,1.596,Салтыковская,Никольское,1
11.26,11.44,155,1.44,Варшавская,Каховская,1
3.106,3.159,180,1.734,Первомайская,Щелковская,1
7.33,7.464,259,2.648,Выхино,Лермонтовский проспект,1
95.520,95.521,173,1.651,Бульвар Рокоссовского,Локомотив,1
6.50,6.90,185,1.789,Китай-город,Третьяковская,1
9.142,9.37,193,1.889,Тульская,Серпуховская,1
95.524,95.525,215,2.137,Шоссе Энтузиастов,Андроновка,1
5.20,5.58,175,1.677,Белорусская,Краснопресненская,1
135.860,135.861,203,1.997,Выхино,Косино,1
1.143,1.66,116,0.989,Чистые пруды,Лубянка,1
7.160,7.95,253,2.574,Щукинская,Октябрьское поле,1
9.154,9.83,182,1.761,Цветной бульвар,Менделеевская,1
97.822,97.823,274,2.816,Рижская,Сокольники,1
131.704,131.705,196,1.921,Кунцевская,Рабочий Посёлок,1
10.175,10.177,106,0.879,Сретенский бульвар,Трубная,1
3.105,3.40,198,1.944,Партизанская,Измайловская,1
6.120,6.126,134,1.2,Проспект Мира,Рижская,1
95.534,95.535,208,2.058,Площадь Гагарина,Лужники,1
